unique.ID,block,water,microbe,rep,bkgrd,focal,ACAM,BRHO,BRHO.flowering,date,BRHO.flowering.followup,date.followup,sample.collected,num.living.bg.indiv,num.dead.bg.indiv,num.focal.indiv,date,notes
243,32,0.6,1,4,ACAM,BRHO,6,focal,no,4/10/24,yes,4/15/24,,,,,,
161,32,0.75,1,1,ACAM,BRHO,0,focal,no,4/10/24,yes,4/15/24,,,,,,
171,32,1,1,1,ACAM,BRHO,0,focal,no,4/10/24,buds,4/15/24,,,,,,
238,32,1,1,3,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
239,32,1,1,3,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
348,32,1,1,4,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
345,33,1,1,4,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
337,33,0.6,1,4,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
344,33,0.75,1,4,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
312,33,1,1,1,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
248,33,0.6,1,4,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
208,33,1,1,2,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
193,33,0.75,1,2,ACAM,BRHO,6,focal,no,4/10/24,no,4/15/24,,,,,,
288,33,0.75,1,5,ACAM,BRHO,48,focal,yes,4/10/24,,,,,,,,
155,35,0.6,1,1,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
184,35,0.6,1,2,ACAM,BRHO,12,focal,no,4/10/24,buds,4/15/24,,,,,,
274,35,0.6,1,5,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
317,35,0.75,1,2,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
264,35,1,1,4,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
199,35,0.75,1,2,ACAM,BRHO,60,focal,yes,4/10/24,,,,,,,,
222,35,0.75,1,3,ACAM,BRHO,3,focal,no,4/10/24,no,4/15/24,,,,,,
306,35,0.75,1,1,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
310,36,1,1,1,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
210,36,1,1,2,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
151,36,0.6,1,1,ACAM,BRHO,0,focal,no,4/10/24,buds,4/15/24,,,,,,
352,36,0.6,1,5,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
325,36,0.6,1,3,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
223,36,0.75,1,3,ACAM,BRHO,6,focal,yes,4/10/24,,,,,,,,
237,36,1,1,3,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
358,36,1,1,5,BRHO,ACAM,focal,12,yes,4/10/24,,,,,,,,
323,37,1,1,2,BRHO,ACAM,focal,24,yes,4/10/24,,,,,,,,
244,37,0.6,1,4,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
195,37,0.75,1,2,ACAM,BRHO,18,focal,yes,4/10/24,,,,,,,,
309,37,1,1,1,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
313,37,0.6,1,2,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
320,37,0.75,1,2,BRHO,ACAM,focal,48,yes,4/10/24,,,,,,,,
281,37,0.75,1,5,ACAM,BRHO,0,focal,yes,4/10/24,,,,,,,,
342,37,0.75,1,4,BRHO,ACAM,focal,12,no,4/10/24,yes,4/15/24,,,,,,
224,38,0.75,1,3,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
194,38,0.75,1,2,ACAM,BRHO,12,focal,yes,4/10/24,,,,,,,,
230,38,0.75,1,3,ACAM,BRHO,84,focal,yes,4/10/24,,,,,,,,
166,38,0.75,1,1,ACAM,BRHO,24,focal,no,4/10/24,buds,4/15/24,,,,,,
341,38,0.75,1,4,BRHO,ACAM,focal,0,NA,4/10/24,,,,,,,,
257,38,0.75,1,4,ACAM,BRHO,36,focal,yes,4/10/24,,,,,,,,
236,38,1,1,3,ACAM,BRHO,24,focal,buds,4/10/24,yes,4/15/24,,,,,,
