"focal","water","post_num","igr"
"ACAM",1,1314,-0.817451014223526
"ACAM",1,2698,0.0229843916674596
"ACAM",1,3996,-0.679368120451829
"ACAM",1,811,-0.269639787252259
"ACAM",1,955,-0.788475210025749
"ACAM",1,2330,-1.30934435499362
"ACAM",1,1167,-0.541430373308602
"ACAM",1,3514,-1.25775199650658
"ACAM",1,2333,-0.76527201215581
"ACAM",1,1706,0.537694473826746
"ACAM",1,3120,-0.347254103804692
"ACAM",1,501,-0.0832348306832418
"ACAM",1,3788,-0.338671787125482
"ACAM",1,2559,-1.33142663102518
"ACAM",1,3367,-0.230424191353455
"ACAM",1,536,-0.0537391449109452
"ACAM",1,2741,-1.34262866037197
"ACAM",1,988,-0.351431314824577
"ACAM",1,3286,-1.54025703174919
"ACAM",1,2785,0.0199634692869578
"ACAM",1,3411,-1.48597586038371
"ACAM",1,3418,-1.09906380310696
"ACAM",1,3747,0.667115165146591
"ACAM",1,1067,-1.07050624235398
"ACAM",1,1025,1.6066155944141
"ACAM",1,29,0.529757080918433
"ACAM",1,3662,-0.409144636976861
"ACAM",1,1942,-1.58780221334442
"ACAM",1,838,-0.690465984268531
"ACAM",1,1820,0.722567981860971
"ACAM",1,1652,0.17331840318972
"ACAM",1,2281,-1.02846544016487
"ACAM",1,1317,0.267181930650759
"ACAM",1,573,-0.236430312641134
"ACAM",1,1966,0.164917920620039
"ACAM",1,369,0.91038762601936
"ACAM",1,2499,-0.879648468709941
"ACAM",1,86,0.644832609316085
"ACAM",1,1507,-1.7018159493505
"ACAM",1,2375,-0.534941297754052
"ACAM",1,1646,0.319856462357843
"ACAM",1,355,-0.390407478554414
"ACAM",1,1843,0.0564804791791427
"ACAM",1,2860,0.020777230334752
"ACAM",1,1073,0.284888783195481
"ACAM",1,361,-0.255656342103604
"ACAM",1,1340,-0.505780068964078
"ACAM",1,1266,-0.335216681177245
"ACAM",1,3512,-0.666295451200896
"ACAM",1,2806,0.423311031534133
"ACAM",1,1841,-0.863560814943305
"ACAM",1,2866,-1.72246969914354
"ACAM",1,247,0.623085412943277
"ACAM",1,751,-1.10272542681344
"ACAM",1,219,-0.583273598535339
"ACAM",1,135,0.53525531846865
"ACAM",1,111,0.922838709592626
"ACAM",1,532,0.102644209361419
"ACAM",1,2425,0.664764674836637
"ACAM",1,408,-0.89827931566792
"ACAM",1,3123,1.02034770828625
"ACAM",1,1589,0.182068529237847
"ACAM",1,912,0.537350516765587
"ACAM",1,2515,0.346268269231716
"ACAM",1,3428,0.409227126271319
"ACAM",1,2178,0.0330446757632218
"ACAM",1,3887,1.01075556781019
"ACAM",1,3137,0.243652725444282
"ACAM",1,1836,1.66558783426338
"ACAM",1,359,-0.137506787020652
"ACAM",1,2153,0.47224642214193
"ACAM",1,1148,-0.181078131295976
"ACAM",1,2042,-0.0665877325818334
"ACAM",1,1101,0.106237513648463
"ACAM",1,1242,-0.225751486321181
"ACAM",1,3682,-0.535622024034836
"BRHO",0.6,1422,5.6916608190788
"BRHO",0.6,1017,5.57457682550355
"BRHO",0.6,3908,5.36416208298572
"BRHO",0.6,679,5.51946385837936
"BRHO",0.6,2177,5.41958023836805
"BRHO",0.6,930,5.40862309344118
"BRHO",0.6,1533,5.82150660414996
"BRHO",0.6,471,5.69295013258389
"BRHO",0.6,2347,5.69930346561469
"BRHO",0.6,270,5.67060497042644
"BRHO",0.6,1211,5.76120619683065
"BRHO",0.6,3379,4.99416097616548
"BRHO",0.6,597,5.8624149146118
"BRHO",0.6,1301,5.44330619430923
"BRHO",0.6,3946,6.00421253397598
"BRHO",0.6,1974,5.64467334235558
"BRHO",0.6,3566,5.42062708920012
"BRHO",0.6,330,5.41687339363121
"BRHO",0.6,1799,5.45502920144323
"BRHO",0.6,3913,5.29668698304554
"BRHO",0.6,1615,5.56650542343302
"BRHO",0.6,1749,5.65819858578027
"BRHO",0.6,37,5.81448431320737
"BRHO",0.6,1129,5.78938843640158
"BRHO",0.6,729,5.52917370133471
"BRHO",0.6,878,5.56651039665796
"BRHO",0.6,485,5.63365570391059
"BRHO",0.6,3749,5.92938820768356
"BRHO",0.6,1826,5.78963186022242
"BRHO",0.6,2922,5.60621493872644
"BRHO",0.6,2430,5.47870494773939
"BRHO",0.6,3673,5.58987265158366
"BRHO",0.6,975,5.6594493392701
"BRHO",0.6,2849,5.15627764469812
"BRHO",0.6,2900,5.67548409818771
"BRHO",0.6,2979,5.51052089674018
"BRHO",0.6,2374,5.37811965075003
"BRHO",0.6,2378,5.68335536850239
"BRHO",0.6,554,5.28355623113941
"BRHO",0.6,1446,5.64989728100787
"BRHO",0.6,2159,5.929216992768
"BRHO",0.6,3476,5.45371062881995
"BRHO",0.6,1948,5.65289170375317
"BRHO",0.6,2580,5.71569555400865
"BRHO",0.6,1530,5.70160515075701
"BRHO",0.6,2604,5.64414645569539
"BRHO",0.6,2937,6.21476116445003
"BRHO",0.6,343,5.72352518486885
"BRHO",0.6,2630,5.74115413758153
"BRHO",0.6,3193,5.99608236433585
"BRHO",0.6,40,5.36949063294206
"BRHO",0.6,3756,5.72516161176647
"BRHO",0.6,537,5.43113648985051
"BRHO",0.6,2423,5.75315773858236
"BRHO",0.6,248,5.59497572539025
"BRHO",0.6,1222,5.58845950136056
"BRHO",0.6,2426,5.47252394238376
"BRHO",0.6,2087,5.47949430336611
"BRHO",0.6,2483,5.98149019486395
"BRHO",0.6,2858,5.79055868106991
"BRHO",0.6,1414,5.76141732396641
"BRHO",0.6,1304,5.5449560275723
"BRHO",0.6,1696,5.33752190146946
"BRHO",0.6,526,5.55793462150649
